Sector,Area,Unit_Id,Unit_Process,Output_Category,Output,Output_Amount,Output_Unit
Oil & Gas Distribution,Pertamina IT Makassar,1,Penerimaan,Waste,Waste,224.4,kg
Oil & Gas Distribution,Pertamina IT Makassar,2,Genset,Emission,Carbon Dioxide (CO2),8780,kg
Oil & Gas Distribution,Pertamina IT Makassar,2,Genset,Emission,Sulfur Oxide (SOx),4.992957099,kg
Oil & Gas Distribution,Pertamina IT Makassar,2,Genset,Emission,Nitrogen Oxide (NOx),938.3581452,kg
Oil & Gas Distribution,Pertamina IT Makassar,2,Genset,Emission,Particulate Matter (PM10),5.631656436,kg
Oil & Gas Distribution,Pertamina IT Makassar,2,Genset,Waste,Waste,224.4,kg
Oil & Gas Distribution,Pertamina IT Makassar,2,Genset,Waste,Waste,58,kg
Oil & Gas Distribution,Pertamina IT Makassar,3,Office,Waste,Wastewater,1840000,liter
Oil & Gas Distribution,Pertamina IT Makassar,3,Office,Waste,Waste,4070,kg
Oil & Gas Distribution,Pertamina IT Makassar,4,Storage Tank,Emission,Volatile Organic Compounds (VOC),137920.9043,kg
Oil & Gas Distribution,Pertamina IT Makassar,4,Storage Tank,Waste,Waste,224.4,kg
Oil & Gas Distribution,Pertamina IT Makassar,4,Storage Tank,Waste,Sludge,57728,kg
Oil & Gas Distribution,Pertamina IT Makassar,4,Storage Tank,Waste,Wastewater,1163000,liter
Oil & Gas Distribution,Pertamina IT Makassar,5,Pompa,Waste,Waste,224.4,kg
Oil & Gas Distribution,Pertamina IT Makassar,5,Pompa,Waste,Wastewater,284000,liter
Oil & Gas Distribution,Pertamina IT Makassar,6,Filling Shed Pump,Waste,Waste,224.4,kg
Oil & Gas Distribution,Pertamina IT Makassar,7,Mobil Tangki,Waste,Waste,58,kg
Oil & Gas Distribution,FT Cilacap,8,Storage Tank,Waste,Sludge,14710,kg
Oil & Gas Distribution,FT Cilacap,8,Storage Tank,Waste,Wastewater,652000,kg
Oil & Gas Distribution,FT Cilacap,9,Mobil Tangki,Product,Fuel,1790585802,kg
Oil & Gas Distribution,FT Cilacap,9,Mobil Tangki,Emission,Methane (CH4),275450.579,kg
